file_log,waktu_dijalankan,waktu_selesai,selesai,status_eksekusi,status_log_asli,mode_siklus,durasi_detik,total_jarak_mm,jumlah_segmen_tercatat,jumlah_segmen_selesai,jumlah_segmen_tidak_selesai,status_segmen,indeks_segmen_tidak_selesai,data_error,detail_error_catatan
run_cycle_off_stopped_partial_20260826_104946_031211.csv,2026-08-26T10:49:46.031,2026-08-26T10:50:17.011,Tidak,Tidak selesai / dihentikan,stopped_partial,off,30.982016,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_stopped_partial_20260826_105033_036423.csv,2026-08-26T10:50:33.036,2026-08-26T10:50:53.452,Tidak,Tidak selesai / dihentikan,stopped_partial,off,20.425007,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_error_partial_20260826_105254_228786.csv,2026-08-26T10:52:54.228,2026-08-26T10:52:54.400,Tidak,Tidak selesai / error,error_partial,off,0.180934,0,1,0,1,no_segment_sent,0,Ya,error_partial; tidak ada segmen yang dikirim (no_segment_sent)
run_cycle_off_completed_20260826_105259_930167.csv,2026-08-26T10:52:59.930,2026-08-26T10:53:06.927,Ya,Selesai,completed,off,6.996667,118.549568,1,1,0,done,,Tidak,
run_cycle_off_completed_20260826_105321_466530.csv,2026-08-26T10:53:21.466,2026-08-26T10:53:26.153,Ya,Selesai,completed,off,4.684961,118.549568,1,1,0,done,,Tidak,
run_cycle_on_stopped_partial_20260826_105328_491054.csv,2026-08-26T10:53:28.491,2026-08-26T10:53:38.981,Tidak,Tidak selesai / dihentikan,stopped_partial,on,10.491995,0.066667,1,1,0,done,,Tidak,"stopped_partial; semua segmen yang tercatat berstatus done, tetapi run tidak berstatus completed"
run_cycle_on_stopped_partial_20260826_105821_562493.csv,2026-08-26T10:58:21.562,2026-08-26T10:58:50.956,Tidak,Tidak selesai / dihentikan,stopped_partial,on,29.402249,60.41523,1,1,0,done,,Tidak,"stopped_partial; semua segmen yang tercatat berstatus done, tetapi run tidak berstatus completed"
run_cycle_off_completed_20260826_105907_589982.csv,2026-08-26T10:59:07.589,2026-08-26T10:59:35.002,Ya,Selesai,completed,off,27.415215,554.549367,1,1,0,done,,Tidak,
run_cycle_off_completed_20260826_105938_080399.csv,2026-08-26T10:59:38.080,2026-08-26T10:59:56.356,Tidak,Tidak selesai / anomali,completed,off,18.27483,0,1,0,1,no_segment_sent,0,Perlu cek,status completed tetapi 1 segmen tidak berstatus done (no_segment_sent)
run_cycle_off_completed_20260826_110014_526050.csv,2026-08-26T11:00:14.526,2026-08-26T11:00:29.885,Ya,Selesai,completed,off,15.363131,40,1,1,0,done,,Tidak,
run_cycle_off_stopped_partial_20260826_110052_079736.csv,2026-08-26T11:00:52.079,2026-08-26T11:01:07.686,Tidak,Tidak selesai / dihentikan,stopped_partial,off,15.609416,60.416149,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
